latitude,longitude,Altitude,track_seg_point_id,time
-2.464598,54.152869,146.4,0,2021/09/11 09:06:58+00
-2.464519,54.152848,146.2,1,2021/09/11 09:06:59+00
-2.464477,54.152837,146.2,2,2021/09/11 09:07:00+00
-2.464377,54.152815,146.8,3,2021/09/11 09:07:03+00
-2.464284,54.152791,146.8,4,2021/09/11 09:07:05+00
-2.46419,54.152772,147,5,2021/09/11 09:07:07+00
-2.464102,54.152757,147.2,6,2021/09/11 09:07:09+00
-2.464061,54.15275,147.4,7,2021/09/11 09:07:10+00
-2.464015,54.152737,147.6,8,2021/09/11 09:07:11+00
-2.463928,54.152721,148,9,2021/09/11 09:07:13+00
-2.463816,54.152684,148.6,10,2021/09/11 09:07:16+00
-2.463722,54.152654,149.2,11,2021/09/11 09:07:18+00
-2.463627,54.152633,149.6,12,2021/09/11 09:07:20+00
-2.463439,54.152578,150.8,13,2021/09/11 09:07:25+00
-2.463405,54.152569,150.8,14,2021/09/11 09:07:26+00
-2.463214,54.152528,151.8,15,2021/09/11 09:07:31+00
-2.463176,54.152523,152,16,2021/09/11 09:07:32+00
-2.463021,54.152506,152.8,17,2021/09/11 09:07:36+00
-2.462848,54.15252,153.6,18,2021/09/11 09:07:40+00
-2.462811,54.152506,153.8,19,2021/09/11 09:07:41+00
-2.462642,54.152475,154.6,20,2021/09/11 09:07:46+00
-2.462609,54.152476,155,21,2021/09/11 09:07:47+00
-2.462502,54.152483,156.2,22,2021/09/11 09:07:51+00
-2.462378,54.152478,157.2,23,2021/09/11 09:07:55+00
-2.462355,54.15248,157.4,24,2021/09/11 09:07:56+00
-2.4622,54.15246,158.4,25,2021/09/11 09:08:00+00
-2.462086,54.152461,159,26,2021/09/11 09:08:03+00
-2.461893,54.15245,159.4,27,2021/09/11 09:08:06+00
-2.461679,54.152446,159.8,28,2021/09/11 09:08:10+00
-2.461416,54.152444,160,29,2021/09/11 09:08:14+00
-2.461243,54.152423,160,30,2021/09/11 09:08:17+00
-2.461007,54.152447,160,31,2021/09/11 09:08:21+00
-2.460946,54.152454,160,32,2021/09/11 09:08:22+00
-2.460593,54.15248,160,33,2021/09/11 09:08:28+00
-2.460557,54.152475,160,34,2021/09/11 09:08:29+00
-2.460393,54.152484,160.4,35,2021/09/11 09:08:32+00
-2.460238,54.152473,161.4,36,2021/09/11 09:08:35+00
-2.460185,54.152468,161.8,37,2021/09/11 09:08:36+00
-2.459936,54.152469,162.6,38,2021/09/11 09:08:41+00
